,t10y,t10y,t10y,t10y,t10y,t10y,t10y,ffr,ffr,ffr,ffr,ffr,ffr,ffr,gdp,gdp,gdp,gdp,gdp,cpi,cpi,cpi,cpi,cpi,cpi,cpi,unemp,unemp,unemp,unemp,unemp,unemp,unemp,recess
Forecast,2021Q4,2022Q2,2022Q4,2023Q2,2023Q4,2024Q2,2024Q4,2021Q4,2022Q2,2022Q4,2023Q2,2023Q4,2024Q2,2024Q4,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2021Q4,2022Q2,2022Q4,2023Q2,2023Q4,2024Q2,2024Q4,2021Q4,2022Q2,2022Q4,2023Q2,2023Q4,2024Q2,2024Q4,2021Q4
WSJ Consensus,1.69,1.94,2.15,2.33,2.45,2.58,2.66,0.125,0.146,0.34,0.61,0.944,1.301,1.558,3.12,4.81,4.17,3.76,3.2,5.25,3.43,2.64,2.55,2.46,2.4,2.33,4.63,4.2,3.91,3.74,3.64,3.62,3.66,16
Nomura Securities International,1.7,1.65,1.65,1.75,1.85,,,0.125,0.125,0.125,0.375,0.625,,,2.9,5,5.6,4.5,2.7,6,3.9,1.9,2,2.4,,,4.4,3.7,3.6,3.5,3.5,,,
Bank of the West/BNP Paribas Group,1.55,1.72,1.85,2.18,2.49,2.82,3.1,0.125,0.125,0.125,0.375,0.625,0.875,1.125,2.4,4.7,3.7,2.8,2.7,5.7,3.9,2.4,2.1,2,2,2.1,4.6,4.1,3.8,3.6,3.5,3.5,3.4,
Capital Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deloitte Insights,1.51,1.75,1.99,2.23,2.47,2.67,2.85,0.125,0.125,0.125,0.125,0.5,1,1.5,5.4,4.1,5.3,4,4.1,4.6,2.4,2.2,2.3,2.2,2.1,2,5.2,4.9,4.6,4.4,4.3,4.2,4,
Economic Outlook Group,1.63,1.71,2.05,2.1,2.35,2.2,2.2,0.13,0.13,0.13,0.88,1.13,1.63,1.88,3.2,2.7,3.3,3.4,3.1,4.3,3.5,2.5,2.6,2.3,2.3,2.1,4.7,4.7,4.3,4.1,4,3.8,3.8,
Nationwide,1.7,1.85,2.05,2.2,2.35,2.5,2.65,0.125,0.125,0.125,0.375,0.625,0.875,1.125,3,5,5,4.5,4,5.7,4.5,2.8,2.6,2.3,2.4,2.6,4.7,4.1,3.8,3.6,3.5,3.5,3.4,
Visa,1.6,1.78,2.18,2.43,2.55,,,0.125,0.125,0.125,0.625,1.125,,,0.4,4.4,3.6,2.5,2.7,6,2.6,2.1,1.9,1.8,,,4.8,4.5,4.3,4.1,3.9,,,
Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Lombard,1.7,2,2.5,2.5,2.8,3,3.5,0.125,0.125,0.375,0.375,0.625,0.875,1.375,3.5,4,3.5,3.3,2.8,3.9,2.5,2.8,2.8,2.8,2.8,2.8,4.5,3.8,3.5,3.5,3.5,3.5,3.5,
S&P Global Ratings,1.68,2,2.33,2.52,2.59,2.64,2.65,0.12,0.13,0.37,0.41,0.91,0.91,1.38,3.2,5.5,4.1,4.1,3,4.6,2.5,2.1,2.4,2.3,2.4,2.4,4.9,4.4,4,3.6,3.4,3.2,3.1,
RSM US LLP,1.8,1.8,1.9,1.95,,,,0.125,0.125,0.125,0.375,0.625,0.875,1.125,3.7,4.6,4,3.8,3.9,5,2.3,2.2,2.2,2.3,2.2,2.3,4.4,3.8,3.5,3.4,3.5,3.5,3.4,
Wells Fargo & Co.,1.7,1.9,2,2.1,2.15,2.2,2.2,0.125,0.125,0.125,0.125,0.875,,,3,4.4,3.6,3.3,4,4.9,3.3,2.5,2,2.3,,,4.7,4.3,4.1,3.8,3.6,,,
Econoclast,1.8,2,2.5,2.5,2,2,2,0.125,0.125,0.63,0.88,1.13,1.13,1.13,3.5,3.5,2,2.5,2,5.2,4.1,3.5,3,2.5,2.5,2.5,4.6,4.4,4.2,4,4,4,4,
